replicate,duplications,observed_duplications,losses,CNH,RKH,ILS,ILS_DLCPAR
624,4,4,0,0,2,4,4
625,5,5,0,0,1,2,2
626,8,8,0,0,4,7,5
627,1,1,0,0,0,1,1
628,1,1,0,0,1,2,1
629,16,16,0,0,4,10,8
630,0,0,0,0,0,0,0
631,19,19,0,0,5,9,8
632,15,15,0,0,3,11,10
633,0,0,0,0,0,1,1
634,44,37,0,1,9,24,20
635,0,0,0,0,0,1,1
636,1,1,0,0,1,2,1
637,5,5,0,0,1,4,4
638,5,5,0,0,2,4,3
639,7,7,0,0,1,2,2
640,4,4,0,0,0,4,3
641,1,1,0,0,0,0,0
642,3,3,0,0,0,1,1
643,2,2,0,0,2,3,2
644,0,0,0,0,0,0,0
645,7,7,0,0,3,6,4
646,5,5,0,0,1,2,1
647,6,6,0,0,1,2,2
648,0,0,0,0,0,0,0
649,10,10,0,0,3,8,7
650,3,3,0,0,0,1,1
651,4,4,0,0,2,3,3
652,0,0,0,0,0,0,0
653,4,4,0,0,2,3,2
654,1,1,0,0,1,0,0
655,8,8,0,0,1,1,1
656,3,3,0,0,1,1,1
657,0,0,0,0,0,0,0
658,0,0,0,0,0,1,1
659,2,2,0,0,1,1,1
660,11,8,0,0,4,4,3
661,3,3,0,0,0,2,1
662,3,3,0,0,0,2,1
663,3,3,0,0,2,3,3
664,8,8,0,0,2,4,4
665,16,16,0,0,3,8,7
666,1,1,0,0,0,0,0
667,2,2,0,0,1,2,2
668,10,10,0,0,2,2,2
669,0,0,0,0,0,0,0
670,0,0,0,0,0,0,0
671,19,19,0,0,6,14,11
672,70,55,0,1,18,36,33
673,6,6,0,0,3,6,4
674,1,1,0,0,0,1,1
675,18,16,0,0,2,5,5
676,5,5,0,0,1,2,1
677,3,3,0,0,0,3,2
678,2,2,0,0,1,3,2
679,8,8,0,0,1,1,1
680,0,0,0,0,0,0,0
681,3,3,0,0,2,3,2
682,5,5,0,0,1,0,0
683,9,9,0,0,2,6,5
684,3,3,0,0,1,2,2
685,4,4,0,0,1,1,1
686,4,4,0,0,1,4,3
687,4,4,0,0,1,4,3
688,4,4,0,0,2,5,3
689,4,4,0,0,3,3,2
690,5,5,0,0,1,3,3
691,6,6,0,0,1,2,1
692,13,13,0,0,4,10,8
693,12,12,0,1,5,10,7
694,1,1,0,0,0,3,2
695,2,2,0,0,0,1,1
696,1,1,0,0,1,2,2
697,5,5,0,0,1,3,2
698,5,5,0,0,1,3,3
699,0,0,0,0,0,0,0
700,3,3,0,0,0,2,2
701,24,21,0,0,5,19,17
702,3,3,0,0,1,4,3
703,7,7,0,0,0,1,1
704,1,1,0,0,0,0,0
705,6,6,0,0,1,3,3
706,0,0,0,0,0,0,0
707,4,4,0,0,0,2,2
708,2,2,0,0,0,1,1
709,2,2,0,0,0,0,0
710,3,3,0,0,1,3,2
711,5,5,0,0,1,2,1
712,2,2,0,0,0,1,1
713,6,6,0,0,2,3,2
714,2,2,0,0,0,0,0
715,1,1,0,0,0,1,1
716,7,7,0,0,1,9,7
717,3,3,0,0,0,0,0
718,5,5,0,0,1,2,2
719,1,1,0,0,1,2,1
720,7,7,0,0,3,3,2
721,6,6,0,1,2,5,4
722,5,5,0,0,1,7,5
723,18,14,0,0,6,12,10
724,0,0,0,0,0,1,1
725,2,2,0,0,0,1,1
726,2,2,0,0,0,1,1
727,3,3,0,1,3,5,4
728,3,3,0,0,2,4,3
729,27,24,0,0,4,13,12
730,2,2,0,0,1,2,1
731,2,2,0,0,1,2,2
732,4,4,0,0,1,2,2
733,4,4,0,0,1,1,1
734,25,23,0,1,11,13,11
735,1,1,0,0,0,0,0
736,0,0,0,0,0,1,1
737,4,4,0,0,3,3,2
738,5,5,0,0,0,4,2
739,6,6,0,1,2,3,3
740,17,17,0,0,4,11,10
741,3,3,0,0,0,0,0
742,7,7,0,0,3,4,3
743,5,5,0,0,0,3,2
744,1,1,0,0,0,1,1
745,2,2,0,0,1,1,1
746,4,4,0,0,2,0,0
747,1,1,0,0,1,2,1
748,2,2,0,0,0,0,0
749,4,4,0,0,1,3,2
750,6,6,0,0,1,2,2
751,3,3,0,0,2,3,3
752,5,5,0,0,2,2,2
753,6,6,0,0,1,7,4
754,16,15,0,2,5,11,9
755,4,4,0,0,1,4,3
756,5,5,0,0,2,2,2
757,2,2,0,0,0,1,1
758,7,7,0,0,0,2,2
759,1,1,0,0,0,2,1
760,6,6,0,0,2,4,3
761,3,3,0,0,0,1,1
762,0,0,0,0,0,0,0
763,6,6,0,0,3,7,7
764,16,13,0,0,6,4,4
765,64,46,0,0,11,41,32
766,3,3,0,0,2,3,3
767,23,23,0,0,3,11,10
768,0,0,0,0,0,1,1
769,4,4,0,0,1,3,3
770,21,18,0,1,8,13,11
771,0,0,0,0,0,0,0
772,0,0,0,0,0,0,0
773,2,2,0,0,0,0,0
774,0,0,0,0,0,0,0
775,12,12,0,0,3,7,6
776,2,2,0,0,0,0,0
777,5,5,0,0,1,2,2
778,2,2,0,0,0,3,3
779,1,1,0,0,1,0,0
780,4,4,0,0,1,2,2
781,1,1,0,0,1,1,1
782,5,5,0,0,1,2,2
783,4,4,0,0,0,3,2
784,1,1,0,0,0,0,0
785,10,10,0,0,1,6,4
786,0,0,0,0,0,0,0
787,2,2,0,0,1,1,1
788,0,0,0,0,0,0,0
789,3,3,0,0,0,0,0
790,3,3,0,0,1,5,3
791,17,14,0,1,6,14,10
792,0,0,0,0,0,1,1
793,4,4,0,0,1,5,3
794,3,3,0,0,0,3,2
795,18,14,0,0,4,10,9
796,3,3,0,0,2,5,4
797,3,3,0,0,1,2,1
798,1,1,0,0,0,0,0
799,100,80,0,1,25,65,50
800,2,2,0,0,1,2,1
801,0,0,0,0,0,0,0
802,22,22,0,1,7,15,12
803,0,0,0,0,0,0,0
804,9,9,0,0,5,8,6
805,1,1,0,0,0,1,1
806,22,20,0,0,5,7,7
807,33,33,0,0,11,25,21
808,2,2,0,0,1,0,0
809,2,2,0,0,1,2,2
810,1,1,0,0,0,1,1
811,2,2,0,0,1,2,2
812,1,1,0,0,0,1,1
813,2,2,0,0,1,1,1
814,2,2,0,0,2,3,2
